ID;ACTIVADO;NOMBRE;NOMBRE 2;FAMILIA (CATEGORIA);PRECIO VENTA;PROVEEDOR;PESO_BRUTO;TIPO_ART;DIMENSION;PESO;IVA;LARGO;ANCHO;GRUESO;DIAMETRO;DENSIDAD
000250;1;JONTEC  N1 (CAJA 4U x 5KG);DECAPANTE ULTRARRAPIDO DE CERAS SIN ACLARADO;0001;94,8400;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000300;1;SATIN ( ENVASE 2 U x 5 L);EMULSION SATINADA;0001;68,3800;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000400;1;JON - WAX INCOLORO (ENVASE 4UX5 KG);CERA ACRILICA PARA SUELOS DE MADERA Y CORCHO;0001;146,5800;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000500;1;PROTECT PLUS (ENVASE 4U X 5 KG);EMULSION METALIZADA DE ALTO BRILLO;0001;123,9600;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000600;1;TECHNIQUE ( CAJA 4U X 5 KG);SELLADOR DE SUELOS POROSOS O GASTADOS;0001;125,6200;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000700;1;JONTEC MAGICMOP 12X0.5L;SPRAY CAPTAPOLVO PARA MOPA EN TODO TIPO DE SUELOS;0001;62,4300;400000001;6,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000800;1;SUPER TAPI (ENVASE 25 KG);CHAMPU ACTIVO PARA MOQUETAS CON NEUTRAFRESH;0001;78,1900;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000850;1;SUPER TAPI (CAJA 4U X 5 KG);CHAMP   ACTIVO PARA MOQUETAS CON NEUTRAFRESH;0001;96,8500;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
000900;1;SUPER TAPI EXTRACCION (CAJA 4UX5KG);CHAMPU PARA MOQUETAS M  TODO INYECCIÓN-EXTRACCIÓN;0001;101,7500;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001000;1;SUPER TAPI QUITAMANCHAS (6UX 750ML);QUITAMANCHAS PARA TEXTILES CON NEUTRAFRESH;0001;38,2700;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001100;1;JONTEC TERRANOVA (CAJA 4UX5KG);CRISTALIZADOR PARA SUELOS DE MÁRMOL Y TERRAZO;0001;85,1300;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001200;1;CLASSIC NORMAL (ENVASE 25 KG);CERA ABRILLANTABLE PARA SUELOS DUROS;0001;116,5100;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001300;1;CLASSIC NORMAL (ENVASE 4U X 5 KG);CERA ABRILLANTABLE PARA SUELOS DUROS;0001;92,6900;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001400;1;CLASSIC ROJO (ENVASE 25 KG);CERA ABRILLANTABLE ROJA PARA SUELOS DUROS;0001;124,1600;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001500;1;CLASSIC  ROJO (CAJA 4Ux5KG);CERA ABRILLANTABLE ROJA PARA SUELOS DUROS;0001;111,1300;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001600;1;ASSET   NEUTRO   ( ENVASE 25 KG);DETERGENTE NEUTRO PARA SUELOS TRATADOS;0001;69,8500;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001700;1;ASSET  NEUTRO  (CAJA 4U X 5 KG);DETERGENTE NEUTRO PARA SUELOS TRATADOS;0001;56,0400;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001710;1;JONTEC STRIDE 1000 (CAJA 4UX5KG);LIMPIADOR NEUTRO PARA FREGADORA;0001;52,0000;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001720;1;JONTEC STRIDE 2000 (CAJA 4UX5KG);LIMPIADOR ALCALINO PARA FREGADORA;0001;50,6900;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001800;1;EXTRA ( CAJA 4U X 5 KG);LAVABRILLO CONCENTRADO;0001;113,3800;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
001900;1;ETERNUM (ENVASE 4U X 5KG);EMULSION METALIZADA DE LARGA DURACIÓN;0001;135,4000;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002000;1;ETERNUM (ENVASE 25 KG);EMULSION METALIZADA DE LARGA DURACIÓN;0001;189,9600;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002010;1;JONTEC BARNIZ (CAJA 4U X 5KG);EMULSIÓN ALTO BRILLO Y LARGA DURACIÓN;0001;167,1300;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002040;1;JONTEC BARNIZ NEGRO (25 KG);EMULSIÓN NEGRA DE ALTO BRILLO Y DURACIÓN;0001;234,2000;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002100;1;EXPRESS RESTORE (CAJA 4U x 5KG);ABRILLANTADOR REPARADOR M  TODO SPRAY;0001;108,8900;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002200;1;JONTEC CERAMICA (CAJA 4UX5KG);LIMPIADOR PERFUMADO PARA SUELOS CERÁMICOS;0001;58,4500;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002300;1;BASIC (ENVASE 4U X 5KG);EMULSION METALIZADA AUTOBRILLANTE;0001;87,7800;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002400;1;SPRINT EMEREL GLIOALCOHOL ( 25 KG );LIMPIADOR EN  RGICO CON GLIOALCOHOL;0001;68,1100;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002410;1;SPRINT EMEREL (CAJA 4U X 5 KG);LIMPIADOR EN  RGICO CON GLIOALCOHOL;0001;57,4200;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002500;1;SPRINT EMEREL LAVATODO (ENVASE 25KG;LIMPIADOR USO GENERAL;0001;26,3600;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002600;1;SPRINT EMEREL LAVATODO (CAJA 4UX5KG;LIMPIADOR USO GENERAL;0001;25,0900;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002700;1;SPRINT MAGNUM (ENVASE 25 KG);LIMPIADOR ALCALINO CON PERFUME DE LARGA DURACIÓN;0001;39,2900;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002800;1;SPRINT MAGNUM (CAJA 4U X 5KG);LIMPIADOR ALCALINO CON PERFUME DE LARGA DURACIÓN;0001;35,0400;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
002900;1;SPRINT GENERAL AMONIACAL (4Ux5KG);LIMPIADOR AMONIACAL;0001;32,2500;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003000;1;SPRINT GENERAL AMONIACAL(ENV.25 KG);LIMPIADOR AMONIACAL;0001;35,5500;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003100;1;S.C.LIMPIADOR NEUTRO SUELOS 3  (4X2KG);LIMPIADOR NEUTRO PARA SOLUTION CENTER;0001;94,2700;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003200;1;S.C. LIMPIADOR  DESINF.BA  OS 8  (4UX2K;LIMPIADOR DESINFECTANTE PARA SOLUTION CENTER;0001;48,7100;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003300;1;S.C. LIMP. DESINC. BA  OS 9  (CAJA 4UX2L;DESINCRUSTANTE PARA SOLUTION CENTER;0001;76,7600;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003400;1;S.C. LIMPIADOR MULTIUSO 4  (4UX2L);LIMPIADOR MULTIUSOS PARA SOLUTION CENTER;0001;367,2700;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003500;1;S.C. LIMP. SUPERF.LAVABLES 2  (4UX2L);LIMPIADOR SUPERFICIES LAVABLES PARA S.CENTER;0001;100,2200;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003600;1;S.C.LIMPIADOR AMBIENTADOR LIQUIDO (4X2L);LIMPIADOR AMBIENTADOR PARA SOLUTION CENTER;0001;90,3400;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003700;1;S.C.LIMP.DESIN.SUEL.TRATADOS 12 (4X2KG);LIMPIADOR DESINFECTANTE SUELOS TRATADOS S.CENTER;0001;94,3000;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
003800;1;S.C. BOTELLA (6 U);BOTELLA SOLUTION CENTER;0001;12,6500;400000001;0,000;10;;0,000;0;0,000;0,000;0,000;0,000;0,000
003900;1;S.C. MODULO (UNIDAD);MODULO SOLUTION CENTER;0001;437,5400;400000001;0,000;10;;0,000;0;0,000;0,000;0,000;0,000;0,000
004000;1;PISTOLA PULVERIZADORA S.C. (UNID);PISTOLA PULVERIZADORA;0001;2,1200;400000001;0,000;10;;0,000;0;0,000;0,000;0,000;0,000;0,000
004100;1;ACCU.LIMP.DESINF.BA  OS (4UX1);;0001;41,2300;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
004200;1;ACCU.LIMP.SUPERFICIES LAV.(4UX1L);;0001;45,7100;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
004300;1;ACCU.LIMP.NEUTRO SUELOS (4X1KG);;0001;43,0200;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
004400;1;ACCU.LIMP.AMB.LIQUIDO (4UX1L);;0001;41,2300;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
004500;1;ACCU.LIMP.DES.SUEL.TRATAD.(4UX1L);;0001;43,0200;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
004512;1;J.CAP N*4 (12U);;0001;26,4700;400000001;0,000;10;;0,000;0;0,000;0,000;0,000;0,000;0,000
004514;1;J.CAP N*8 (12U);;0001;26,4700;400000001;0,000;1;;0,000;0;0,000;0,000;0,000;0,000;0,000
