ID;ACTIVO;NOMBRE;CATEGORIA PADRE;RAIZ;DESCRIPCION
0018;1;PRODUCTOS DE LIMPIEZA;HOME;0;Productos de limpieza
0002;1;MAQUINARIA;HOME;0;Maquinaria
0003;1;EQUIPAMIENTOS;HOME;0;Equipamientos
0004;1;VESTUARIO;HOME;0;Vestuario
0005;1;PROTECCIONES;HOME;0;Protecciones
0006;1;PISCINAS;0001;0;Productos especificos para piscinas
0007;1;CELULOSA;0001;0;Celulosa
0008;1;UTILES;0001;0;Utiles
0009;1;BOLSAS Y SACOS;0001;0;Bolsas y sacos de plastico
0010;1;CARROS;0002;0;Carros
0011;1;PROTECCION PIES;0005;0;Protecciones para los pies
0012;1;PROTECCION MANOS;0005;0;Protecciones para las manos
0013;1;PROTECCION RESPIRATORIA;0005;0;Proteccion respiratoria
0014;1;PROTECCION AUDITIVA;0005;0;Proteccion auditiva
0015;1;PROTECCION DE LA CABEZA;0005;0;Proteccion de la cabeza
0016;1;PROTECCION FACIAL;0005;0;Proteccion facial
0017;1;ANTICAIDAS;0005;0;Proteccion frente a caidas y golpes
