"codigo";"descrip";"cod_padre";"Activo";"Raiz"
101;"CELULOSA";"HOME";1;0
102;"HIGIENICO";"HOME";1;0
103;"EQUIPAMIENTOS";"HOME";1;0
104;"DISPENSADORES";"HOME";1;0
105;"QUIMICOS";"HOME";1;0
106;"COCINA";"HOME";1;0
107;"SUELOS";"HOME";1;0
108;"BAÑOS";"HOME";1;0
109;"LIMPIEZA DE INTERIORES";"HOME";1;0
110;"LAVANDERIA";"HOME";1;0
111;"ASEO PERSONAL";"HOME";1;0
112;"INDUSTRIA Y TRANSPORTE";"HOME";1;0
113;"AMBIENTADORES";"HOME";1;0
114;"LIMPIEZA HOSPITALARIA";"HOME";1;0
115;"UTILES DE LIMPIEZA";"HOME";1;0
116;"BAYETAS Y PAÑOS";"HOME";1;0
117;"SISTEMAS DE FREGADO/BARRIDO PL";"HOME";1;0
118;"FREGADO TRADICIONAL";"HOME";1;0
119;"CUBOS";"HOME";1;0
120;"GUANTES";"HOME";1;0
121;"CARROS";"HOME";1;0
122;"DISCOS";"HOME";1;0
123;"PALOS";"HOME";1;0
124;"LIMPIEZA DE CRISTALES";"HOME";1;0
125;"BOLSAS DE BASURA";"HOME";1;0
126;"DESECHABLES";"HOME";1;0
127;"MAQUINARIA";"HOME";1;0
128;"ASPIRADORES";"HOME";1;0
129;"FREGADORAS";"HOME";1;0
130;"HIDROLIMPIADORAS";"HOME";1;0
131;"DUNI";"HOME";1;0
132;"HIGIENICO";"CELULOSA";1;0
133;"BOBINAS SECAMANOS";"CELULOSA";1;0
134;"TOALLAS SECAMANOS";"CELULOSA";1;0
135;"BOBINAS INDUSTRIALES";"CELULOSA";1;0
136;"PAPEL DE COCINA";"CELULOSA";1;0
137;"CELULOSA INDUSTRIAL";"CELULOSA";1;0
138;"SERVILLETAS";"CELULOSA";1;0
139;"MANTELERIA";"CELULOSA";1;0
140;"ROLLO CAMILLA";"CELULOSA";1;0
141;"FACIALES";"CELULOSA";1;0
142;"OTROS CELULOSA";"CELULOSA";1;0
143;"HIGIENICO DOMESTICO";"HIGIENICO";1;0
144;"HIGIENICO INDUSTRIAL";"HIGIENICO";1;0
145;"HIGIENICO CORTADO";"HIGIENICO";1;0
146;"DISPENSADORES";"EQUIPAMIENTOS";1;0
147;"EQUIPOS DE DOSIFICACION";"EQUIPAMIENTOS";1;0
148;"ALFOMBRAS";"EQUIPAMIENTOS";1;0
149;"ESCALERAS";"EQUIPAMIENTOS";1;0
150;"EXTERMINADOR DE INSECTOS";"EQUIPAMIENTOS";1;0
151;"SECADORES ELECTRICOS";"EQUIPAMIENTOS";1;0
152;"PAPELERAS";"EQUIPAMIENTOS";1;0
153;"CONTENEDORES";"EQUIPAMIENTOS";1;0
154;"ENFUNDADOR DE PARAGUAS";"EQUIPAMIENTOS";1;0
155;"SEÑALIZACION";"EQUIPAMIENTOS";1;0
156;"DISPENSADOR HIGIENICO";"DISPENSADORES";1;0
157;"DISPENSADOR BOBINA";"DISPENSADORES";1;0
158;"DISPENSADOR TOALLAS";"DISPENSADORES";1;0
159;"DISPENSADOR AMBIENTADOR";"DISPENSADORES";1;0
160;"DISPENSADOR JABÓN";"DISPENSADORES";1;0
161;"OTROS DISPENSADORES";"DISPENSADORES";1;0
162;"COCINA";"QUIMICOS";1;0
163;"SUELOS";"QUIMICOS";1;0
164;"BAÑOS";"QUIMICOS";1;0
165;"LIMPIEZA DE INTERIORES";"QUIMICOS";1;0
166;"LAVANDERIA";"QUIMICOS";1;0
167;"ASEO PERSONAL";"QUIMICOS";1;0
168;"AMBIENTADORES";"QUIMICOS";1;0
169;"INSECTICIDAS";"QUIMICOS";1;0
170;"OTROS QUIMICOS";"QUIMICOS";1;0
171;"INDUSTRIA Y TRANSPORTE";"QUIMICOS";1;0
172;"GAMA BUSSINESS SOLUTION";"QUIMICOS";1;0
173;"LIMPIEZA HOSPITALARIA";"QUIMICOS";1;0
174;"PRODUCTOS P&G";"QUIMICOS";1;0
175;"LAVADO AUTOMATICO";"COCINA";1;0
176;"ABRILLANTADORES";"COCINA";1;0
177;"DETERGENTE+ABRILLANTADOR";"COCINA";1;0
178;"GAMA PUR ECO LAVADO";"COCINA";1;0
179;"GAMA SUMA REVOFLOW";"COCINA";1;0
180;"GAMA PUR ECO HIGIENE";"COCINA";1;0
181;"DESINCRUSTANTES";"COCINA";1;0
182;"LAVADO MANUAL";"COCINA";1;0
183;"DESENGRASANTES";"COCINA";1;0
184;"REMOJO Y RECUPERACION";"COCINA";1;0
185;"LIMPIEZA HORNOS";"COCINA";1;0
186;"DESINFECTANTES COCINA";"COCINA";1;0
187;"OTROS QUIMICOS COCINAS";"COCINA";1;0
188;"SISTEMA SMARTDOSE-COCINAS";"COCINA";1;0
189;"SISTEMA DIVERMITE-COCINAS";"COCINA";1;0
190;"SISTEMA SAFEPACK";"COCINA";1;0
191;"AUDITORIAS";"COCINA";1;0
192;"DOSIFICACION";"COCINA";1;0
193;"MARCAS PROFESIONALES COCINA";"COCINA";1;0
194;"LIMPIADORES MANTENEDORES";"SUELOS";1;0
195;"IMPREGNADORES";"SUELOS";1;0
196;"CERAS Y EMULSIONES";"SUELOS";1;0
197;"DECAPANTES";"SUELOS";1;0
198;"CRISTALIZADORES";"SUELOS";1;0
199;"MADERA Y PARQUET";"SUELOS";1;0
200;"MOQUETAS";"SUELOS";1;0
201;"OTROS QUIMICOS SUELOS";"SUELOS";1;0
202;"MARCAS PROFESIONALES SUELOS";"SUELOS";1;0
203;"LIMPIEZA GENERAL BAÑOS";"BAÑOS";1;0
204;"DESINFECTANTES BAÑO";"BAÑOS";1;0
205;"ESPECIALIDADES BAÑOS";"BAÑOS";1;0
206;"OTROS QUIMICOS BAÑOS";"BAÑOS";1;0
207;"MARCAS PROFESIONALES BAÑOS";"BAÑOS";1;0
208;"MULTIUSOS";"LIMPIEZA DE INTERIORES";1;0
209;"LIMPIADORES GENERALES";"LIMPIEZA DE INTERIORES";1;0
210;"DESINFECTANTES LIMPIEZA INTERIORES";"LIMPIEZA DE INTERIORES";1;0
211;"LIMPIAMETALES";"LIMPIEZA DE INTERIORES";1;0
212;"OTROS QUIMICOS LIMPIEZA DE INTERIORES";"LIMPIEZA DE INTERIORES";1;0
213;"GAMA EXACT";"LIMPIEZA DE INTERIORES";1;0
214;"GAMA ROOM CARE";"LIMPIEZA DE INTERIORES";1;0
215;"SISTEMA SMARTDOSE";"LIMPIEZA DE INTERIORES";1;0
216;"SISTEMA QUATTRO SELECT";"LIMPIEZA DE INTERIORES";1;0
217;"ACCESORIOS";"LIMPIEZA DE INTERIORES";1;0
218;"GAMA ROOM CARE PUR ECO";"LIMPIEZA DE INTERIORES";1;0
219;"SISTEMA DIVERMITE-LIMPIEZA DE INTERIORES";"LIMPIEZA DE INTERIORES";1;0
220;"BOTELLAS DIVERMITE";"LIMPIEZA DE INTERIORES";1;0
221;"MARCAS PROFESIONALES LIMPIEZA";"LIMPIEZA DE INTERIORES";1;0
222;"DETERGENTES EN POLVO";"LAVANDERIA";1;0
223;"DETERGENTES COMPLETOS";"LAVANDERIA";1;0
224;"MARCAS PROFESIONALES LAVANDERIA";"LAVANDERIA";1;0
225;"ESPECIALIDADES";"LAVANDERIA";1;0
226;"DETERGENTES LIQUIDOS";"LAVANDERIA";1;0
227;"BLANQUEANTES";"LAVANDERIA";1;0
228;"NEUTRALIZANTES";"LAVANDERIA";1;0
229;"COMPONENTES LAVANDERIA";"LAVANDERIA";1;0
230;"SUAVIZANTES";"LAVANDERIA";1;0
231;"SISTEMA REVOFLOW";"LAVANDERIA";1;0
232;"PRODUCTOS ESPECIALES LAVANDERIA";"LAVANDERIA";1;0
233;"JABONES A GRANEL";"ASEO PERSONAL";1;0
234;"JABONES PELICANO";"ASEO PERSONAL";1;0
235;"JABONES EN ESPUMA";"ASEO PERSONAL";1;0
236;"JABONES DE RECARGA";"ASEO PERSONAL";1;0
237;"LINEA SOFT CARE LINE";"ASEO PERSONAL";1;0
238;"LINEA SOFT CARE SELECT";"ASEO PERSONAL";1;0
239;"GAMA SOFT CARE SENSATIONS";"ASEO PERSONAL";1;0
240;"JABONES INDUSTRIALES";"ASEO PERSONAL";1;0
241;"TOALLAS Y ESPONJAS IMPREGNADAS";"ASEO PERSONAL";1;0
242;"LIMPIADOR PARA INODORO";"ASEO PERSONAL";1;0
243;"CHAMPÚ Y GELES";"ASEO PERSONAL";1;0
244;"HIDRATANTES Y COLONIAS";"ASEO PERSONAL";1;0
245;"AMENITIES";"ASEO PERSONAL";1;0
246;"METAL E INDUSTRIA";"INDUSTRIA Y TRANSPORTE";1;0
247;"DETERGENTES ALCALINOS";"INDUSTRIA Y TRANSPORTE";1;0
248;"DETERGENTES ACIDOS";"INDUSTRIA Y TRANSPORTE";1;0
249;"CHAMPUES";"INDUSTRIA Y TRANSPORTE";1;0
250;"CERAS";"INDUSTRIA Y TRANSPORTE";1;0
251;"DESPARAFINANTES";"INDUSTRIA Y TRANSPORTE";1;0
252;"DESENGRASANTE MOTORES";"INDUSTRIA Y TRANSPORTE";1;0
253;"OTROS QUIMICOS INDUSTRIA";"INDUSTRIA Y TRANSPORTE";1;0
254;"EQUIPOS";"INDUSTRIA Y TRANSPORTE";1;0
255;"AMBIENTADORES LIQUIDOS";"AMBIENTADORES";1;0
256;"AMBIENTADORES EN AEROSOL";"AMBIENTADORES";1;0
257;"AMBIENTADORES EN RECARGA";"AMBIENTADORES";1;0
258;"LIMPIADORES AMBIENTADORES";"AMBIENTADORES";1;0
259;"AMBIENTADORES SANITARIOS";"AMBIENTADORES";1;0
