cod_art;cod_artp;des_art;cod_cat;cat;familia;des_fam;nombre;precio_v;cod_pro;ACTIVO;ruta_img
2475;7522315;ROOM CARE R2 (6BOTX750ML);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;32,18;400000001;1;C:\SALIDA\img\002475.jpg
2525;7509663;ROOM CARE R4 (6BOTX750ML);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;46,33;400000001;1;C:\SALIDA\img\002525.JPG
2650;7513038;TASKI ENERGY (2X5L);194;LIMPIADORES MANTENEDORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;26,37;400000001;1;C:\SALIDA\img\002650.JPG
2665;7512882;TASKI SPRINT FLOWER 2X5L W668;194;LIMPIADORES MANTENEDORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;79,6;400000001;1;C:\SALIDA\img\002665.jpg
2805;7513844;TASKI SPRINT MAGNUM (2Ux5L);258;LIMPIADORES AMBIENTADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;26,11;400000001;1;C:\SALIDA\img\002805.JPG
2810;7513845;TASKI SPRINT MAGNUM (20L);258;LIMPIADORES AMBIENTADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;47,26;400000001;1;
2815;7509845;JD DIVOS 120CL VM9 (20L.) We;170;OTROS QUIMICOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;68,42;400000001;1;
2830;7510944;JD DIVO FLOW NTC VC26 20L;;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;0;400000001;1;
2855;;TASKI SPRINT IMPACT (2Ux5L);208;MULTIUSOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;28,97;400000001;1;C:\SALIDA\img\002855.JPG
3045;7510574;JD OMEGA VS23 (20L.);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;96,26;400000001;1;
3050;7518680;DI SPRINT LIMPIADOR CLORADO (10UX1,5KG);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;23,7;400000001;1;C:\SALIDA\img\003050.JPG
3051;7521719;TASKI SPRINT H-100 (2X5L) E;173;LIMPIEZA HOSPITALARIA;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;29,2;400000001;1;C:\SALIDA\img\003051.JPG
3052;7523114;BTLKIT 1L TASKI SPRINT H-100 15PC E;286;ACCESORIOS PARA DOSIFICACION;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;38,27;400000001;1;C:\SALIDA\img\003052.jpg
3057;;JD SUREDIS (20L.);187;OTROS QUIMICOS COCINAS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;121,36;400000001;1;C:\SALIDA\img\003057.jpg
3065;7522025;SPRINT H-200 (2U.X5L.);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;195,2;400000001;1;C:\SALIDA\img\003065.jpg
3075;7512449;JD ALCOSAN VT10 (2U.X5L.);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;33,57;400000001;1;C:\SALIDA\img\003075.jpg
3076;7514668;JD ALCOSAN VT10 (6Ux0,75L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;28,51;400000001;1;C:\SALIDA\img\003076.jpg
4008;7512191;PULVERIZADOR VACIO 0,75L. (6U.);280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;14,44;400000001;1;
4009;7512191;PULVERIZADOR VACIO 0,75 L (U);280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;2,4;400000001;1;
4015;;BOTELLA VACIA BLANCA 1L (15U);280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;16,22;400000001;1;
4016;;BOTELLA VACIA BLANCA (UNIDAD);280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;1,0813;400000001;1;
4024;7500790;BOTELLA VACIA TASKI 500ML (UNID);280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;2,07;400000001;1;
4055;1204320;KIT BOT RELLEN 300ML R1 (6BOT+6TAP);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;53,36;400000001;1;
4060;1204321;KIT BOT RELLEN 300ML R2 (6BOT+6PULV);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;69,51;400000001;1;
4065;1204323;KIT BOT RELLEN 300ML R3 (6BOT+6PULV);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;69,51;400000001;1;
4070;1204324;KIT BOT RELLEN 300ML R5 (6BOT+6PULV);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;69,51;400000001;1;
4527;1200813;RACK PARED SAFEPACK;190;SISTEMA SAFEPACK;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;54,85;400000001;1;C:\SALIDA\img\004527.jpg
4543;100857609;ROOM CARE R1 PLUS (2 RECARGAS DE 1,5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;147,07;400000001;1;C:\SALIDA\img\004543.JPG
4544;7522316;ROOM CARE R2 PLUS (2 RECARGAS DE 1,5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;76,71;400000001;1;C:\SALIDA\img\004544.jpg
4545;7509676;ROOM CARE R3 PLUS (2 RECARGAS DE 1,5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;81,31;400000001;1;C:\SALIDA\img\004545.JPG
4547;7509679;ROOM CARE  R5 PLUS (2 RECARGAS DE 1,5L);;;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;198,95;400000001;1;C:\SALIDA\img\004547.JPG
4572;1204314;KIT BOT.RELLEN..750ML R1 (6BOT+6PULV);220;BOTELLAS DIVERMITE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;50,05;400000001;1;
4573;1204315;KIT BOT.RELLEN. 750ML R2 (6 BOT.+6 PULV);220;BOTELLAS DIVERMITE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;68,31;400000001;1;
4576;1204318;KIT BOT.RELLEN. 750ML R5 (6BOT+6PULV);220;BOTELLAS DIVERMITE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;68,31;400000001;1;
4592;1211324;BOTELLA 0,75L RC R9 REFILL 6PC;280;BOTELLAS Y PULVERIZADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;69,51;400000001;1;
4600;7511538;PRONTO WOOD POLISH (CAJA 12UX0.4L);221;MARCAS PROFESIONALES LIMPIEZA;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;58,29;400000001;1;C:\SALIDA\img\004600.jpg
4605;7510748;ROOM CARE R2-PLUS L (2X1,5L);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;76,67;400000001;1;C:\SALIDA\img\004605.jpg
4610;7519075;ROOM CARE R9.1-PLUS (2X1,5L);214;GAMA ROOM CARE;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;87,29;400000001;1;C:\SALIDA\img\004610.jpg
4650;7511537;PRONTO MULTISURFACE (12x400);221;MARCAS PROFESIONALES LIMPIEZA;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;61,85;400000001;1;C:\SALIDA\img\004650.JPG
4705;7511535;PRONTO LIQUIDO WOOD CLEANER (2Ux5L);202;MARCAS PROFESIONALES SUELOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;59,48;400000001;1;C:\SALIDA\img\004705.JPG
4910;7513504;GOOD SENSE VERT (2x5L);258;LIMPIADORES AMBIENTADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;51,34;400000001;1;C:\SALIDA\img\004910.JPG
4920;7514484;GOOD SENSE FLORAL (2U.X5L.);258;LIMPIADORES AMBIENTADORES;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;51,64;400000001;1;C:\SALIDA\img\004920.jpg
4930;7514483;GOOD SENSE MANDARINE (2U.X5L.);255;AMBIENTADORES LIQUIDOS;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;49,66;400000001;1;C:\SALIDA\img\004930.jpg
5050;7513849;GOOD SENSE MAGNOLIA-MIMOSA (12Ux500ML);256;AMBIENTADORES EN AEROSOL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;71,09;400000001;1;C:\SALIDA\img\005050.JPG
5100;7513848;GOOD SENSE MARINE (12U X 500ML);256;AMBIENTADORES EN AEROSOL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;71,09;400000001;1;C:\SALIDA\img\005100.JPG
5200;7513847;GOOD SENSE TOSCANA (12U x 500ML);256;AMBIENTADORES EN AEROSOL;1;DIVERSERY;DIVERSEY ESPAÑA, S.L.;71,09;400000001;1;C:\SALIDA\img\005200.jpg
