cod_art;ref_prove;des_art;cod_cat;descrip;Cats;Fabricante;precio_v;p.Activo;ruta_img;SHOW_PRICE;codigo
155;7517390;TASKI JONTEC FUTUR (2U.X5L.);197;DECAPANTES;0,107,197;DIVERSEY ESPAÑA, S.L.;55,42;1;C:\SALIDA\img\000155.png;0;197
240;7512688;TASKI JONTEC LINOSAFE 2X5L;;;;DIVERSEY ESPAÑA, S.L.;83,01;1;C:\SALIDA\img\000240.png;0;
245;7514751;TASKI JONTEC OMNISTRIP 2X5L;;;;DIVERSEY ESPAÑA, S.L.;47,12;1;C:\SALIDA\img\000245.jpg;0;
260;100834248;TASKI JONTEC Nº1 (2x5L);197;DECAPANTES;0,107,197;DIVERSEY ESPAÑA, S.L.;70,51;1;C:\SALIDA\img\000260.JPG;0;197
265;7513177;TASKI RADICAL (2U.X5L.);197;DECAPANTES;0,107,197;DIVERSEY ESPAÑA, S.L.;54,21;1;C:\SALIDA\img\000265.jpg;0;197
405;;JONTEC JON WAX INCOLORO (ENV 2U.X5L.);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;102,15;1;C:\SALIDA\img\000405.JPG;0;196
605;7513198;TASKI JONTEC TECHNIQUE W782 (2U.X5L.);195;IMPREGNADORES;0,107,195;DIVERSEY ESPAÑA, S.L.;88,58;1;C:\SALIDA\img\000605.png;0;195
660;7508788;TASKI H16 F63 2X5L;195;IMPREGNADORES;0,107,195;DIVERSEY ESPAÑA, S.L.;86,1;1;C:\SALIDA\img\000660.jpg;0;195
661;7508788;TASKI H16 F63 5L;195;IMPREGNADORES;0,107,195;DIVERSEY ESPAÑA, S.L.;43,05;1;C:\SALIDA\img\000661.jpg;0;195
700;7512677;JONTEC MAGICMOP 12X0.5L;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;62,43;1;C:\SALIDA\img\000700.jpg;0;194
715;7511125;VERSA BOTELLA VERDE 500ML;286;ACCESORIOS PARA DOSIFICACION;0,115,286;DIVERSEY ESPAÑA, S.L.;47,16;1;;0;286
860;7513212;TASKI TAPI SHAMPOO W668 (2x5L);200;MOQUETAS;0,107,200;DIVERSEY ESPAÑA, S.L.;69,05;1;C:\SALIDA\img\000860.JPG;0;200
880;7512372;TASKI TAPI GUM W1062 (6Ux0,5L);200;MOQUETAS;0,107,200;DIVERSEY ESPAÑA, S.L.;82,86;1;C:\SALIDA\img\000880.JPG;0;200
905;7513206;TASKI TAPI EXTRACT (2U.X5L.);200;MOQUETAS;0,107,200;DIVERSEY ESPAÑA, S.L.;72,69;1;C:\SALIDA\img\000905.JPG;0;200
910;7513334;TASKI TAPI SPOTEX 2 W2065L (6U.X0,75L.);200;MOQUETAS;0,107,200;DIVERSEY ESPAÑA, S.L.;52,98;1;C:\SALIDA\img\000910.JPG;0;200
915;7513338;TASKI TAPI SPOTEX 1 (6U.X0,50L.);200;MOQUETAS;0,107,200;DIVERSEY ESPAÑA, S.L.;59,78;1;C:\SALIDA\img\000915.JPG;0;200
920;7522625;OXIVIR H+ (2X5L) LIMPIADOR;263;DESINFECCION HOSPITALARIA;0,114,263;DIVERSEY ESPAÑA, S.L.;77,28;1;C:\SALIDA\img\000920.jpg;0;263
925;7513215;TASKI TR-101 (2ENVX5L);200;MOQUETAS;0,107,200;DIVERSEY ESPAÑA, S.L.;68,53;1;C:\SALIDA\img\000925.JPG;0;200
1000;411310;SUPER TAPI QUITAMANCHAS (6UX 750ML);200;MOQUETAS;0,107,200;DIVERSEY ESPAÑA, S.L.;38,27;1;C:\SALIDA\img\001000.jpg;0;200
1105;100846051;JONTEC TERRANOVA (2UX5L);198;CRISTALIZADORES;0,107,198;DIVERSEY ESPAÑA, S.L.;67,77;1;C:\SALIDA\img\001105.JPG;0;198
1110;7513169;TASKI CARRARE (2U. X5L.);198;CRISTALIZADORES;0,107,198;DIVERSEY ESPAÑA, S.L.;69,8;1;C:\SALIDA\img\001110.jpg;0;198
1500;402610;CLASSIC  ROJO (CAJA 4Ux5KG);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;111,13;1;;0;196
1510;;JONTEC PROTECT PLUS VERMELHO (2UX5L);196;CERAS Y EMULSIONES;0,107,196;DIVERSEY ESPAÑA, S.L.;66,7;1;C:\SALIDA\img\001510.png;0;196
1660;;SACTIF SUPER (1SACX15KG);201;OTROS QUIMICOS SUELOS;0,107,201;DIVERSEY ESPAÑA, S.L.;36,41;1;C:\SALIDA\img\001660.gif;0;201
1670;7516886;ATTACK PLUS (2U.x5L.) F.I.E.;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;63,74;1;C:\SALIDA\img\001670.jpg;0;194
1680;100839687;DI ACTIVAL (2U.X5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;68,36;1;C:\SALIDA\img\001680.JPG;0;194
1695;7511173;JD MULTIGRAP VV6 (20L.) S&MWe39;;;;DIVERSEY ESPAÑA, S.L.;136,2;1;;0;
1705;7512671;JONTEC ASSET (2U x 5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;37,92;1;C:\SALIDA\img\001705.JPG;0;194
1725;7512309;TASKI JONTEC BEST (2U. X 5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;55,71;1;C:\SALIDA\img\001725.JPG;0;194
1730;100835365;JONTEC STRIDE 2000 (2UX5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;42,04;1;C:\SALIDA\img\001730.jpg;0;194
1750;7513109;TASKI JONTEC FORWARD S&MWe60 (2UX5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;44,36;1;C:\SALIDA\img\001750.png;0;194
1755;100835365;TASKI JONTEC REGRASS 2x5L R: 100835365;194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;26,88;1;C:\SALIDA\img\001755.jpg;0;194
1810;7513160;TASKI JONTEC EXTRA W668 (2U x 5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;81,39;1;C:\SALIDA\img\001810.png;0;194
1820;7514752;OMNISPRAY (2ENVX5L);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;52,44;1;;0;194
1830;7512956;TASKI JONTEC COMBIW341  (2U.X5L.);194;LIMPIADORES MANTENEDORES;0,107,194;DIVERSEY ESPAÑA, S.L.;52,93;1;C:\SALIDA\img\001830.jpg;0;194
