codigo;descrip;cod_padre;Activo;Raiz;Padre;Cats
0;INICIO;;1;2;;2,,0
101;CELULOSA;2;1;2;INICIO;2,101
102;HIGIENICO;2;1;2;INICIO;2,102
103;EQUIPAMIENTOS;2;1;2;INICIO;2,103
104;DISPENSADORES;2;1;2;INICIO;2,104
105;QUIMICOS;2;1;2;INICIO;2,105
106;COCINA;2;1;2;INICIO;2,106
107;SUELOS;2;1;2;INICIO;2,107
108;BAÑOS;2;1;2;INICIO;2,108
109;LIMPIEZA DE INTERIORES;2;1;2;INICIO;2,109
110;LAVANDERIA;2;1;2;INICIO;2,110
111;ASEO PERSONAL;2;1;2;INICIO;2,111
112;INDUSTRIA Y TRANSPORTE;2;1;2;INICIO;2,112
113;AMBIENTADORES;2;1;2;INICIO;2,113
114;LIMPIEZA HOSPITALARIA;2;1;2;INICIO;2,114
115;UTILES DE LIMPIEZA;2;1;2;INICIO;2,115
116;BAYETAS Y PAÑOS;2;1;2;INICIO;2,116
117;SISTEMAS DE FREGADO/BARRIDO PL;2;1;2;INICIO;2,117
118;FREGADO TRADICIONAL;2;1;2;INICIO;2,118
119;CUBOS;2;1;2;INICIO;2,119
120;GUANTES;2;1;2;INICIO;2,120
121;CARROS;2;1;2;INICIO;2,121
122;DISCOS;2;1;2;INICIO;2,122
123;PALOS;2;1;2;INICIO;2,123
124;LIMPIEZA DE CRISTALES;2;1;2;INICIO;2,124
125;BOLSAS DE BASURA;2;1;2;INICIO;2,125
126;DESECHABLES;2;1;2;INICIO;2,126
127;MAQUINARIA;2;1;2;INICIO;2,127
128;ASPIRADORES;2;1;2;INICIO;2,128
129;FREGADORAS;2;1;2;INICIO;2,129
130;HIDROLIMPIADORAS;2;1;2;INICIO;2,130
131;DUNI;2;1;2;INICIO;2,131
132;HIGIENICO;101;1;2;CELULOSA;2,101,132
133;BOBINAS SECAMANOS;101;1;2;CELULOSA;2,101,133
134;TOALLAS SECAMANOS;101;1;2;CELULOSA;2,101,134
135;BOBINAS INDUSTRIALES;101;1;2;CELULOSA;2,101,135
136;PAPEL DE COCINA;101;1;2;CELULOSA;2,101,136
137;CELULOSA INDUSTRIAL;101;1;2;CELULOSA;2,101,137
138;SERVILLETAS;101;1;2;CELULOSA;2,101,138
139;MANTELERIA;101;1;2;CELULOSA;2,101,139
140;ROLLO CAMILLA;101;1;2;CELULOSA;2,101,140
141;FACIALES;101;1;2;CELULOSA;2,101,141
142;OTROS CELULOSA;101;1;2;CELULOSA;2,101,142
143;HIGIENICO DOMESTICO;102;1;2;HIGIENICO;2,102,143
144;HIGIENICO INDUSTRIAL;102;1;2;HIGIENICO;2,102,144
145;HIGIENICO CORTADO;102;1;2;HIGIENICO;2,102,145
146;DISPENSADORES;103;1;2;EQUIPAMIENTOS;2,103,146
147;EQUIPOS DE DOSIFICACION;103;1;2;EQUIPAMIENTOS;2,103,147
148;ALFOMBRAS;103;1;2;EQUIPAMIENTOS;2,103,148
149;ESCALERAS;103;1;2;EQUIPAMIENTOS;2,103,149
150;EXTERMINADOR DE INSECTOS;103;1;2;EQUIPAMIENTOS;2,103,150
151;SECADORES ELECTRICOS;103;1;2;EQUIPAMIENTOS;2,103,151
152;PAPELERAS;103;1;2;EQUIPAMIENTOS;2,103,152
153;CONTENEDORES;103;1;2;EQUIPAMIENTOS;2,103,153
154;ENFUNDADOR DE PARAGUAS;103;1;2;EQUIPAMIENTOS;2,103,154
155;SEÑALIZACION;103;1;2;EQUIPAMIENTOS;2,103,155
156;DISPENSADOR HIGIENICO;104;1;2;DISPENSADORES;2,104,156
157;DISPENSADOR BOBINA;104;1;2;DISPENSADORES;2,104,157
158;DISPENSADOR TOALLAS;104;1;2;DISPENSADORES;2,104,158
159;DISPENSADOR AMBIENTADOR;104;1;2;DISPENSADORES;2,104,159
160;DISPENSADOR JABÓN;104;1;2;DISPENSADORES;2,104,160
161;OTROS DISPENSADORES;104;1;2;DISPENSADORES;2,104,161
162;COCINA;105;1;2;QUIMICOS;2,105,162
163;SUELOS;105;1;2;QUIMICOS;2,105,163
164;BAÑOS;105;1;2;QUIMICOS;2,105,164
165;LIMPIEZA DE INTERIORES;105;1;2;QUIMICOS;2,105,165
